# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:03:00.0
# logical name: p0
# version: 00
# serial: 0c:42:a1:a4:89:c0
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list rom ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.4 latency=0 link=yes multicast=yes
# resources: iomemory:e20-e1f irq:64 memory:e200000000-e201ffffff memory:e000000000-e0000fffff memory:e204000000-e205ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.1.1 present.
# 
# Handle 0x0004, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: Socket 0
# 	Type: Central Processor
# 	Family: ARMv8
# 	Manufacturer: https://www.mellanox.com
# 	ID: 80 D0 1F 41 00 00 00 00
# 	Signature: Implementor 0x41, Variant 0x1, Architecture 15, Part 0xd08, Revision 0
# 	Version: Mellanox BlueField-2 [A0] A72(D08) r1p0
# 	Voltage: 0.8 V
# 	External Clock: 200 MHz
# 	Max Speed: 2500 MHz
# 	Current Speed: 2500 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Other
# 	L1 Cache Handle: 0x0005
# 	L2 Cache Handle: 0x0006
# 	L3 Cache Handle: 0x0007
# 	Serial Number: Unspecified Serial Number
# 	Asset Tag: Unspecified Asset Tag
# 	Part Number: OPN: MBF2H516A-CENO
# 	Core Count: 8
# 	Core Enabled: 8
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       16348520 kB
# ========================================
#
# System Information
# ========================================
# Linux linux 5.4.44-mlnx.14.gd7fb187 #1 SMP PREEMPT Tue Sep 15 16:18:01 UTC 2020 aarch64 aarch64 aarch64 GNU/Linux
# ========================================
#
# Start of test: 2020-12-29T02:49:10,497675002+00:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	1097.00	1.41
0	1	0	5	1203.67	2.05
0	1	0	10	1200.00	0.00
0	1	0	15	1202.67	1.25
0	1	0	20	1212.00	4.24
0	1	0	25	1201.00	1.41
0	1	5	1	1215.00	2.16
0	1	5	5	1206.33	0.47
0	1	5	10	1213.67	1.89
0	1	5	15	1205.00	0.82
0	1	5	20	1202.33	0.47
0	1	5	25	1199.00	0.00
0	1	10	1	1222.00	0.82
0	1	10	5	1210.67	3.09
0	1	10	10	1215.67	5.91
0	1	10	15	1208.33	4.03
0	1	10	20	1208.33	1.89
0	1	10	25	1200.33	2.05
0	1	15	1	1223.00	0.82
0	1	15	5	1207.67	0.94
0	1	15	10	1218.67	1.25
0	1	15	15	1205.00	0.00
0	1	15	20	1202.00	0.82
0	1	15	25	1197.00	1.41
0	1	20	1	1224.00	2.94
0	1	20	5	1208.00	1.41
0	1	20	10	1216.67	0.94
0	1	20	15	1210.00	2.16
0	1	20	20	1203.00	0.00
0	1	20	25	1197.00	0.00
0	1	25	1	1227.00	0.00
0	1	25	5	1210.33	0.94
0	1	25	10	1214.33	1.70
0	1	25	15	1205.33	0.94
0	1	25	20	1210.33	2.49
0	1	25	25	1200.33	2.05
0	2	0	1	805.33	8.18
0	2	0	5	771.00	5.66
0	2	0	10	1198.00	0.00
0	2	0	15	1206.00	0.82
0	2	0	20	1215.33	1.70
0	2	0	25	1221.67	1.89
0	2	5	1	752.00	3.56
0	2	5	5	773.33	1.89
0	2	5	10	1210.67	2.36
0	2	5	15	1213.67	0.94
0	2	5	20	1218.67	0.47
0	2	5	25	1221.00	2.45
0	2	10	1	745.00	1.41
0	2	10	5	741.00	1.41
0	2	10	10	1213.00	2.83
0	2	10	15	1213.67	0.47
0	2	10	20	1219.00	1.41
0	2	10	25	1217.33	3.40
0	2	15	1	734.00	2.83
0	2	15	5	752.67	16.52
0	2	15	10	1216.67	2.36
0	2	15	15	1214.67	0.47
0	2	15	20	1219.67	0.94
0	2	15	25	1219.67	0.47
0	2	20	1	736.33	3.40
0	2	20	5	753.67	11.90
0	2	20	10	1216.67	3.09
0	2	20	15	1216.67	1.89
0	2	20	20	1225.00	0.00
0	2	20	25	1222.33	3.30
0	2	25	1	739.67	6.55
0	2	25	5	753.00	13.59
0	2	25	10	1214.33	1.70
0	2	25	15	1213.67	0.47
0	2	25	20	1223.67	1.70
0	2	25	25	1219.33	1.25
0	3	0	1	926.33	11.03
