# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:03:00.0
# logical name: p0
# version: 00
# serial: 0c:42:a1:a4:8a:08
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list rom ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.1002 (MT_0000000477) ip=10.10.1.3 latency=0 link=yes multicast=yes
# resources: iomemory:e20-e1f irq:64 memory:e200000000-e201ffffff memory:e000000000-e0000fffff memory:e204000000-e205ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.1.1 present.
# 
# Handle 0x0004, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: Socket 0
# 	Type: Central Processor
# 	Family: ARMv8
# 	Manufacturer: https://www.mellanox.com
# 	ID: 80 D0 1F 41 00 00 00 00
# 	Signature: Implementor 0x41, Variant 0x1, Architecture 15, Part 0xd08, Revision 0
# 	Version: Mellanox BlueField-2 [A0] A72(D08) r1p0
# 	Voltage: 0.8 V
# 	External Clock: 200 MHz
# 	Max Speed: 2500 MHz
# 	Current Speed: 2500 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Other
# 	L1 Cache Handle: 0x0005
# 	L2 Cache Handle: 0x0006
# 	L3 Cache Handle: 0x0007
# 	Serial Number: Unspecified Serial Number
# 	Asset Tag: Unspecified Asset Tag
# 	Part Number: OPN: MBF2H516A-CENO
# 	Core Count: 8
# 	Core Enabled: 8
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       16348520 kB
# ========================================
#
# System Information
# ========================================
# Linux localhost.localdomain 5.4.44-mlnx.14.gd7fb187 #1 SMP PREEMPT Tue Sep 15 16:18:01 UTC 2020 aarch64 aarch64 aarch64 GNU/Linux
# ========================================
#
# Start of test: 2020-12-29T17:58:40,109298473+00:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	2157.00	5.66
0	1	0	5	2464.00	5.35
0	1	0	10	2468.67	5.31
0	1	0	15	2456.00	3.56
0	1	0	20	2456.33	2.87
0	1	0	25	2457.67	2.87
0	1	5	1	2454.00	4.55
0	1	5	5	2485.00	1.41
0	1	5	10	2480.00	6.98
0	1	5	15	2475.00	3.74
0	1	5	20	2465.00	5.66
0	1	5	25	2458.67	3.09
0	1	10	1	2474.67	3.86
0	1	10	5	2477.33	2.62
0	1	10	10	2473.67	4.92
0	1	10	15	2481.67	2.49
0	1	10	20	2466.33	2.87
0	1	10	25	2464.33	2.05
0	1	15	1	2478.67	0.47
0	1	15	5	2482.00	1.63
0	1	15	10	2467.33	1.25
0	1	15	15	2474.33	7.76
0	1	15	20	2470.33	2.62
0	1	15	25	2463.67	4.50
0	1	20	1	2476.00	2.16
0	1	20	5	2488.67	1.70
0	1	20	10	2479.00	3.56
0	1	20	15	2477.67	2.05
0	1	20	20	2473.00	6.98
0	1	20	25	2452.00	4.55
0	1	25	1	2477.33	4.03
0	1	25	5	2487.00	3.27
0	1	25	10	2473.33	5.44
0	1	25	15	2482.33	4.64
0	1	25	20	2470.67	3.40
0	1	25	25	2464.67	5.73
0	2	0	1	1686.00	9.90
0	2	0	5	1557.00	12.57
0	2	0	10	2465.33	0.47
0	2	0	15	2467.33	0.47
0	2	0	20	2467.33	4.64
0	2	0	25	2473.67	3.77
0	2	5	1	1592.00	23.37
0	2	5	5	1535.00	36.18
0	2	5	10	2478.00	0.00
0	2	5	15	2482.00	3.56
0	2	5	20	2481.33	4.03
0	2	5	25	2480.67	5.56
0	2	10	1	1589.00	19.80
0	2	10	5	1509.67	3.40
0	2	10	10	2478.00	4.32
0	2	10	15	2485.67	1.89
0	2	10	20	2484.33	2.62
0	2	10	25	2478.67	4.11
0	2	15	1	1591.33	33.41
0	2	15	5	1575.33	0.94
0	2	15	10	2480.00	1.41
0	2	15	15	2488.33	2.87
0	2	15	20	2484.67	4.50
0	2	15	25	2483.33	1.70
0	2	20	1	1609.33	29.03
0	2	20	5	1538.33	29.49
0	2	20	10	2482.67	5.91
0	2	20	15	2484.67	0.47
0	2	20	20	2488.33	4.50
0	2	20	25	2488.00	0.82
0	2	25	1	1582.33	27.78
0	2	25	5	1556.67	29.49
0	2	25	10	2477.67	0.47
0	2	25	15	2489.33	2.87
0	2	25	20	2484.00	1.63
0	2	25	25	2484.00	1.63
0	3	0	1	1855.00	11.86
