# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:81:00.0
# logical name: ens5f0
# version: 00
# serial: 0c:42:a1:a4:89:f8
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.2 latency=0 link=yes multicast=yes
# resources: iomemory:71d0-71cf irq:238 memory:71d84000000-71d85ffffff memory:71d88000000-71d89ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.3 present.
# 
# Handle 0x0400, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU1
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0700
# 	L2 Cache Handle: 0x0701
# 	L3 Cache Handle: 0x0702
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# 
# Handle 0x0401, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU2
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0703
# 	L2 Cache Handle: 0x0704
# 	L3 Cache Handle: 0x0705
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       263817680 kB
# Node 1 MemTotal:       264199032 kB
# ========================================
#
# Start of test: 2020-12-20T19:49:30,470019480-05:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	8160.33	59.17
0	1	0	5	24287.67	39.11
0	1	0	10	28288.00	25.70
0	1	0	15	29818.67	1070.07
0	1	0	20	30172.00	1691.44
0	1	0	25	30097.67	1257.96
0	1	5	1	14497.00	131.54
0	1	5	5	30876.67	28.11
0	1	5	10	30624.33	609.29
0	1	5	15	30416.67	126.24
0	1	5	20	30689.67	614.09
0	1	5	25	30657.33	602.29
0	1	10	1	16191.00	94.19
0	1	10	5	31601.67	161.95
0	1	10	10	31741.00	29.03
0	1	10	15	30488.33	605.77
0	1	10	20	30547.00	705.83
0	1	10	25	30221.33	290.88
0	1	15	1	16459.33	257.21
0	1	15	5	31600.00	14.51
0	1	15	10	31241.00	168.68
0	1	15	15	31261.33	206.71
0	1	15	20	31137.67	320.83
0	1	15	25	29531.00	730.23
0	1	20	1	16702.67	230.91
0	1	20	5	29271.67	1290.26
0	1	20	10	29666.00	2149.03
0	1	20	15	28665.00	950.09
0	1	20	20	26556.00	63.64
0	1	20	25	25834.33	124.08
0	1	25	1	16683.33	289.44
0	1	25	5	26169.67	2122.33
0	1	25	10	26613.33	774.38
0	1	25	15	26519.33	158.30
0	1	25	20	25565.33	44.79
0	1	25	25	25873.67	121.48
0	2	0	1	17312.00	37.21
0	2	0	5	47363.67	81.08
0	2	0	10	54849.67	117.17
0	2	0	15	55459.33	71.34
0	2	0	20	55695.00	80.45
0	2	0	25	56228.00	44.14
0	2	5	1	29933.33	238.03
0	2	5	5	59577.67	361.17
0	2	5	10	58178.33	170.73
0	2	5	15	58236.00	166.14
0	2	5	20	58619.00	716.71
0	2	5	25	58400.33	51.44
0	2	10	1	32959.33	481.33
0	2	10	5	61247.67	156.07
0	2	10	10	59369.00	267.39
0	2	10	15	58378.67	158.27
0	2	10	20	58824.00	500.33
0	2	10	25	58412.67	298.03
0	2	15	1	33732.33	513.69
0	2	15	5	60805.33	364.38
0	2	15	10	59790.67	340.50
0	2	15	15	58862.00	86.38
0	2	15	20	58459.67	309.87
0	2	15	25	57207.00	344.98
0	2	20	1	33723.00	697.70
0	2	20	5	58320.00	2492.93
0	2	20	10	54766.00	552.72
0	2	20	15	56477.67	518.12
0	2	20	20	52441.67	104.63
0	2	20	25	50498.33	212.07
0	2	25	1	34233.67	545.84
0	2	25	5	52131.33	3337.69
0	2	25	10	51263.00	565.00
0	2	25	15	52556.33	576.75
0	2	25	20	50050.67	427.62
0	2	25	25	50604.67	58.98
0	3	0	1	26036.67	76.01
0	3	0	5	68406.33	1075.61
0	3	0	10	81792.33	280.20
0	3	0	15	81793.33	599.76
0	3	0	20	80677.33	602.56
0	3	0	25	81609.00	290.85
0	3	5	1	43879.67	212.15
0	3	5	5	80715.67	798.28
0	3	5	10	80655.67	732.75
0	3	5	15	79411.00	162.06
0	3	5	20	79270.33	718.02
0	3	5	25	78938.67	611.00
0	3	10	1	48102.67	180.41
0	3	10	5	80587.33	358.60
0	3	10	10	79063.33	228.62
0	3	10	15	79205.33	535.16
0	3	10	20	78642.00	366.18
0	3	10	25	78442.67	221.48
0	3	15	1	49056.33	599.66
0	3	15	5	79549.00	418.52
0	3	15	10	79467.00	738.05
0	3	15	15	77932.00	656.83
0	3	15	20	78112.67	495.19
0	3	15	25	77265.33	407.95
0	3	20	1	49291.33	626.56
0	3	20	5	80306.00	836.83
0	3	20	10	78562.33	97.18
0	3	20	15	78977.00	658.02
0	3	20	20	78641.67	392.30
0	3	20	25	77321.00	187.36
0	3	25	1	49044.33	732.07
0	3	25	5	79607.33	592.14
0	3	25	10	78547.67	725.87
0	3	25	15	77614.00	741.33
0	3	25	20	77699.33	750.17
0	3	25	25	76929.67	186.45
0	4	0	1	33698.67	309.45
0	4	0	5	89513.33	1631.41
0	4	0	10	94632.67	870.41
0	4	0	15	95280.33	1466.67
0	4	0	20	94266.67	872.19
0	4	0	25	94198.67	358.55
0	4	5	1	56862.67	475.54
0	4	5	5	92919.67	1439.52
0	4	5	10	93206.00	461.85
0	4	5	15	92475.00	832.20
0	4	5	20	92123.67	625.14
0	4	5	25	90164.00	196.06
0	4	10	1	62366.67	175.56
0	4	10	5	91097.00	674.90
0	4	10	10	91210.33	540.23
0	4	10	15	90646.00	812.26
0	4	10	20	90551.67	876.55
0	4	10	25	88120.33	611.89
0	4	15	1	63747.00	242.28
0	4	15	5	90756.33	827.79
0	4	15	10	89066.67	393.13
0	4	15	15	89264.67	483.62
0	4	15	20	88624.33	870.17
0	4	15	25	88076.33	1416.52
0	4	20	1	61922.33	2060.54
0	4	20	5	89776.33	824.29
0	4	20	10	88910.33	885.89
0	4	20	15	87834.33	2118.60
0	4	20	20	86853.00	966.69
0	4	20	25	88598.67	1736.04
0	4	25	1	60064.67	1025.58
0	4	25	5	89400.00	399.58
0	4	25	10	89241.00	1684.82
