# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:81:00.0
# logical name: ens5f0
# version: 00
# serial: 0c:42:a1:a4:89:f8
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.2 latency=0 link=yes multicast=yes
# resources: iomemory:71d0-71cf irq:238 memory:71d84000000-71d85ffffff memory:71d88000000-71d89ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.3 present.
# 
# Handle 0x0400, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU1
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0700
# 	L2 Cache Handle: 0x0701
# 	L3 Cache Handle: 0x0702
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# 
# Handle 0x0401, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU2
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0703
# 	L2 Cache Handle: 0x0704
# 	L3 Cache Handle: 0x0705
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       263817680 kB
# Node 1 MemTotal:       264199032 kB
# ========================================
#
# Start of test: 2020-12-17T23:04:27,673137293-05:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	731.33	25.38
0	1	0	5	1963.00	12.08
0	1	0	10	2308.67	17.75
0	1	0	15	2389.67	2.49
0	1	0	20	2395.67	10.62
0	1	0	25	2501.67	3.09
0	1	5	1	1055.67	17.17
0	1	5	5	2306.67	2.62
0	1	5	10	2488.67	5.19
0	1	5	15	2419.00	18.83
0	1	5	20	2431.00	13.59
0	1	5	25	2391.67	46.38
0	1	10	1	1128.67	10.27
0	1	10	5	2226.67	18.93
0	1	10	10	2155.67	15.37
0	1	10	15	2269.67	23.33
0	1	10	20	2259.00	6.68
0	1	10	25	2221.67	6.18
0	1	15	1	1158.00	7.79
0	1	15	5	1912.33	2.05
0	1	15	10	2104.67	11.15
0	1	15	15	2129.00	26.47
0	1	15	20	2134.33	13.20
0	1	15	25	2103.33	16.03
0	1	20	1	1132.67	33.87
0	1	20	5	1854.67	1.70
0	1	20	10	2054.67	6.18
0	1	20	15	2071.33	26.04
0	1	20	20	2074.67	27.39
0	1	20	25	2041.00	14.72
0	1	25	1	1124.33	43.41
0	1	25	5	1846.67	3.68
0	1	25	10	2018.33	6.65
0	1	25	15	2031.00	20.51
0	1	25	20	1998.00	36.36
0	1	25	25	2006.67	2.36
0	2	0	1	1460.67	27.38
0	2	0	5	3846.00	12.03
0	2	0	10	4415.00	3.74
0	2	0	15	4569.00	5.35
0	2	0	20	4639.33	7.93
0	2	0	25	4788.33	19.60
0	2	5	1	2128.00	12.33
0	2	5	5	4563.00	5.72
0	2	5	10	4748.00	8.52
0	2	5	15	4729.00	10.20
0	2	5	20	4824.67	21.04
0	2	5	25	4879.67	4.71
0	2	10	1	2272.33	26.34
0	2	10	5	4327.00	6.48
0	2	10	10	4219.67	28.71
0	2	10	15	4489.67	19.60
0	2	10	20	4495.67	10.14
0	2	10	25	4446.00	9.20
0	2	15	1	2331.33	10.34
0	2	15	5	3865.00	5.66
0	2	15	10	4199.67	4.64
0	2	15	15	4283.00	13.14
0	2	15	20	4256.67	9.29
0	2	15	25	4223.33	0.94
0	2	20	1	2316.00	41.79
0	2	20	5	3615.33	12.28
0	2	20	10	4009.67	7.32
0	2	20	15	4111.33	15.76
0	2	20	20	4086.00	12.68
0	2	20	25	3951.67	6.60
0	2	25	1	2347.00	19.82
0	2	25	5	3541.67	34.45
0	2	25	10	3887.67	12.76
0	2	25	15	4022.33	13.70
0	2	25	20	3900.00	3.74
0	2	25	25	3950.67	3.68
0	3	0	1	2167.00	3.56
0	3	0	5	6022.67	18.73
0	3	0	10	6838.00	5.10
0	3	0	15	7061.33	11.95
0	3	0	20	7126.00	10.23
0	3	0	25	7288.33	25.77
0	3	5	1	3358.67	29.96
0	3	5	5	7034.33	10.53
0	3	5	10	7358.67	28.19
0	3	5	15	7247.00	10.68
0	3	5	20	7257.67	35.19
0	3	5	25	7388.00	27.07
0	3	10	1	3614.67	10.53
0	3	10	5	6729.67	10.40
0	3	10	10	6294.67	62.74
0	3	10	15	6710.00	21.42
0	3	10	20	6697.67	12.66
0	3	10	25	6788.00	72.17
0	3	15	1	3683.33	35.61
0	3	15	5	6168.33	10.08
0	3	15	10	6094.00	21.23
0	3	15	15	6387.67	14.70
0	3	15	20	6427.00	29.13
0	3	15	25	6367.00	8.64
0	3	20	1	3694.00	58.69
0	3	20	5	5700.33	8.81
0	3	20	10	5917.67	22.31
0	3	20	15	6155.33	27.64
0	3	20	20	6151.33	18.93
0	3	20	25	5973.67	42.46
0	3	25	1	3627.33	81.85
0	3	25	5	5548.00	7.87
0	3	25	10	5798.67	39.23
0	3	25	15	6004.33	0.47
0	3	25	20	5889.67	12.92
0	3	25	25	6036.67	4.78
0	4	0	1	2920.33	46.20
0	4	0	5	7983.00	52.64
0	4	0	10	8944.67	22.40
0	4	0	15	9458.00	32.93
0	4	0	20	9935.67	48.25
0	4	0	25	10182.00	9.27
0	4	5	1	4726.67	24.55
0	4	5	5	9546.00	9.90
0	4	5	10	9792.67	9.81
0	4	5	15	10169.33	58.64
0	4	5	20	10377.67	23.01
0	4	5	25	10512.33	6.60
0	4	10	1	5080.33	26.84
0	4	10	5	8698.00	543.81
0	4	10	10	8142.67	34.32
0	4	10	15	9592.67	54.85
0	4	10	20	9556.67	32.19
0	4	10	25	9569.67	33.56
0	4	15	1	5143.67	47.26
0	4	15	5	7457.67	32.83
0	4	15	10	7846.00	97.99
0	4	15	15	8799.00	286.84
0	4	15	20	9208.67	13.82
0	4	15	25	9069.33	8.99
0	4	20	1	4890.67	252.14
0	4	20	5	7280.00	11.22
0	4	20	10	7409.00	10.71
0	4	20	15	8291.33	49.28
0	4	20	20	8771.33	31.90
0	4	20	25	8426.33	145.68
0	4	25	1	4804.00	51.70
0	4	25	5	7236.67	36.57
0	4	25	10	7418.67	78.26
0	4	25	15	8128.33	73.29
