[2020-12-20T19:49:30,587599610-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=0 (0..25), BURST=1 (1..25)
[2020-12-20T19:50:32,067288468-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=0 (0..25), BURST=5 (1..25)
[2020-12-20T19:51:33,547044493-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=0 (0..25), BURST=10 (1..25)
[2020-12-20T19:52:35,067153234-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=0 (0..25), BURST=15 (1..25)
[2020-12-20T19:53:36,539182179-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=0 (0..25), BURST=20 (1..25)
[2020-12-20T19:54:38,015058903-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=0 (0..25), BURST=25 (1..25)
[2020-12-20T19:55:39,495066455-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=5 (0..25), BURST=1 (1..25)
[2020-12-20T19:56:40,970958283-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=5 (0..25), BURST=5 (1..25)
[2020-12-20T19:57:42,447411885-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=5 (0..25), BURST=10 (1..25)
[2020-12-20T19:58:43,926904700-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=5 (0..25), BURST=15 (1..25)
[2020-12-20T19:59:45,403099176-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=5 (0..25), BURST=20 (1..25)
[2020-12-20T20:00:46,870557230-05:00][INFO] Running DELAY=0 (0..0), THREADS=1 (1..10), CLONE_SKB=5 (0..25), BURST=25 (1..25)
