# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:81:00.0
# logical name: ens5f0
# version: 00
# serial: 0c:42:a1:a4:89:f8
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.2 latency=0 link=yes multicast=yes
# resources: iomemory:71d0-71cf irq:238 memory:71d84000000-71d85ffffff memory:71d88000000-71d89ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.3 present.
# 
# Handle 0x0400, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU1
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0700
# 	L2 Cache Handle: 0x0701
# 	L3 Cache Handle: 0x0702
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# 
# Handle 0x0401, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU2
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0703
# 	L2 Cache Handle: 0x0704
# 	L3 Cache Handle: 0x0705
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       263817680 kB
# Node 1 MemTotal:       264199032 kB
# ========================================
#
# Start of test: 2020-12-19T15:05:17,117619760-05:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	2859.33	47.75
0	1	0	5	7665.00	65.22
0	1	0	10	8952.00	1.63
0	1	0	15	9259.33	11.09
0	1	0	20	9314.00	35.05
0	1	0	25	9646.00	16.31
0	1	5	1	4333.33	2.87
0	1	5	5	9464.67	134.64
0	1	5	10	9843.67	20.37
0	1	5	15	9540.00	42.10
0	1	5	20	9527.67	10.96
0	1	5	25	9627.67	9.74
0	1	10	1	4635.00	45.70
0	1	10	5	8949.67	16.86
0	1	10	10	8678.33	13.30
0	1	10	15	8962.67	18.12
0	1	10	20	8845.67	19.26
0	1	10	25	8764.00	10.42
0	1	15	1	4755.33	25.69
0	1	15	5	7679.00	19.30
0	1	15	10	8554.67	25.59
0	1	15	15	8660.00	7.87
0	1	15	20	8460.67	9.03
0	1	15	25	8377.67	21.64
0	1	20	1	4675.33	124.10
0	1	20	5	7635.33	2.87
0	1	20	10	8241.67	6.02
0	1	20	15	8289.00	14.76
0	1	20	20	8148.00	13.59
0	1	20	25	7977.33	41.31
0	1	25	1	4636.67	155.47
0	1	25	5	7676.00	18.38
0	1	25	10	8067.67	5.73
0	1	25	15	8031.00	15.58
0	1	25	20	7911.33	49.84
0	1	25	25	7833.67	11.32
0	2	0	1	5958.67	43.62
0	2	0	5	16495.00	162.11
0	2	0	10	18954.33	84.04
0	2	0	15	19551.67	17.82
0	2	0	20	19765.33	25.22
0	2	0	25	20345.33	40.61
0	2	5	1	9737.00	36.40
0	2	5	5	20242.00	2.94
0	2	5	10	20869.67	18.12
0	2	5	15	20238.33	60.02
0	2	5	20	20258.00	52.90
0	2	5	25	20490.67	75.38
0	2	10	1	10715.67	22.17
0	2	10	5	19421.00	76.71
0	2	10	10	18147.33	15.76
0	2	10	15	18917.33	37.21
0	2	10	20	18676.67	32.43
0	2	10	25	18653.00	36.12
0	2	15	1	10962.67	100.91
0	2	15	5	16763.67	44.19
0	2	15	10	17678.33	19.57
0	2	15	15	18044.33	31.72
0	2	15	20	17988.00	5.66
0	2	15	25	17786.67	39.97
0	2	20	1	11007.00	147.08
0	2	20	5	15069.67	166.18
0	2	20	10	16719.00	119.60
0	2	20	15	17445.33	21.85
0	2	20	20	17158.67	41.23
0	2	20	25	16714.67	40.08
0	2	25	1	10965.00	113.44
0	2	25	5	15327.00	130.22
0	2	25	10	16749.33	76.65
0	2	25	15	17087.00	5.72
0	2	25	20	16108.67	283.17
0	2	25	25	16450.67	12.26
0	3	0	1	9356.33	83.68
0	3	0	5	24672.00	39.30
0	3	0	10	28344.67	36.26
0	3	0	15	29147.67	25.30
0	3	0	20	29413.67	21.51
0	3	0	25	29750.00	57.91
0	3	5	1	14581.00	58.06
0	3	5	5	29689.00	30.23
0	3	5	10	30950.00	40.42
0	3	5	15	30350.33	17.75
0	3	5	20	29958.33	16.36
0	3	5	25	30604.33	24.14
0	3	10	1	16307.67	78.24
0	3	10	5	28680.33	131.45
0	3	10	10	26606.67	53.63
0	3	10	15	28091.33	52.36
0	3	10	20	27816.67	54.85
0	3	10	25	27860.33	54.32
0	3	15	1	16761.33	130.07
0	3	15	5	25401.00	26.28
0	3	15	10	26212.67	84.05
0	3	15	15	26900.67	44.03
0	3	15	20	26861.00	31.38
0	3	15	25	26680.67	32.42
0	3	20	1	16847.00	205.98
0	3	20	5	23311.67	33.63
0	3	20	10	25330.67	79.24
0	3	20	15	26171.67	25.32
0	3	20	20	25958.33	39.43
0	3	20	25	25074.33	24.69
0	3	25	1	16831.33	244.19
0	3	25	5	23268.33	68.39
0	3	25	10	24989.33	6.85
0	3	25	15	25630.67	40.47
0	3	25	20	24873.00	92.44
0	3	25	25	25136.67	22.43
0	4	0	1	12117.67	111.16
0	4	0	5	32570.67	110.47
0	4	0	10	36694.67	6.60
0	4	0	15	37824.67	39.67
0	4	0	20	38186.67	180.91
0	4	0	25	39128.67	65.66
0	4	5	1	19714.00	68.65
0	4	5	5	38733.00	152.99
0	4	5	10	40000.00	29.44
0	4	5	15	40442.33	75.62
0	4	5	20	40801.33	71.66
0	4	5	25	41481.00	77.16
0	4	10	1	21463.00	80.22
0	4	10	5	37315.67	242.31
0	4	10	10	34194.33	29.04
0	4	10	15	37937.33	107.91
0	4	10	20	37899.33	60.54
0	4	10	25	37981.00	146.36
0	4	15	1	21893.33	135.18
0	4	15	5	33364.00	69.30
0	4	15	10	32861.00	24.59
0	4	15	15	35416.33	746.99
0	4	15	20	36163.33	76.75
0	4	15	25	35787.33	35.98
0	4	20	1	21949.67	334.94
0	4	20	5	32328.00	76.85
0	4	20	10	31715.00	74.96
0	4	20	15	34032.00	131.60
0	4	20	20	34664.00	126.46
0	4	20	25	33462.33	147.36
0	4	25	1	21923.33	51.88
0	4	25	5	31918.33	62.77
0	4	25	10	31281.33	120.14
0	4	25	15	33393.00	171.90
