# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-14T09:57:46-07:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	2884.00	1.41
0	1	0	5	8812.67	11.09
0	1	0	10	12120.00	16.39
0	1	0	15	12675.00	8.04
0	1	0	20	13013.33	25.22
0	1	0	25	12888.00	89.40
0	1	5	1	5252.33	10.40
0	1	5	5	12239.67	12.68
0	1	5	10	12883.67	12.47
0	1	5	15	12898.00	12.25
0	1	5	20	13210.00	458.21
0	1	5	25	12891.67	128.39
0	1	10	1	5876.00	32.40
0	1	10	5	12386.67	19.22
0	1	10	10	12975.33	7.36
0	1	10	15	13100.67	8.81
0	1	10	20	13070.67	10.08
0	1	10	25	12946.00	21.23
0	1	15	1	6097.33	5.44
0	1	15	5	12310.33	39.75
0	1	15	10	13018.33	1.25
0	1	15	15	13102.33	12.23
0	1	15	20	13092.00	14.17
0	1	15	25	13037.00	11.86
0	1	20	1	6243.33	15.76
0	1	20	5	12241.33	20.68
0	1	20	10	13015.67	9.39
0	1	20	15	13109.67	1.70
0	1	20	20	13100.00	6.16
0	1	20	25	12993.33	15.86
0	1	25	1	6307.67	11.90
0	1	25	5	12096.00	17.80
0	1	25	10	13044.67	7.36
0	1	25	15	13089.00	5.10
0	1	25	20	12981.33	11.32
0	1	25	25	12758.33	34.30
0	2	0	1	5037.67	6.34
0	2	0	5	15015.33	4.78
0	2	0	10	18733.67	8.73
0	2	0	15	19940.00	800.37
0	2	0	20	19503.00	879.64
0	2	0	25	20655.00	176.47
0	2	5	1	8969.67	23.46
0	2	5	5	19800.33	4.99
0	2	5	10	18744.67	550.10
0	2	5	15	19396.67	994.82
0	2	5	20	18663.67	177.99
0	2	5	25	19435.33	978.06
0	2	10	1	9675.33	31.05
0	2	10	5	20042.67	23.89
0	2	10	10	18683.33	323.47
0	2	10	15	18658.00	171.28
0	2	10	20	18806.67	177.26
0	2	10	25	18674.33	180.82
0	2	15	1	9957.00	16.08
0	2	15	5	20189.33	65.00
0	2	15	10	18480.67	307.83
0	2	15	15	18490.33	37.99
0	2	15	20	19296.33	1061.15
0	2	15	25	18678.33	174.49
0	2	20	1	10174.67	25.17
0	2	20	5	20173.33	16.34
0	2	20	10	19170.33	1122.65
0	2	20	15	19403.33	996.42
0	2	20	20	18680.67	172.11
0	2	20	25	19434.00	987.69
0	2	25	1	10297.00	30.82
0	2	25	5	20205.00	6.48
0	2	25	10	18468.67	268.47
0	2	25	15	18638.33	190.24
0	2	25	20	19424.33	989.20
0	2	25	25	18638.00	177.49
0	3	0	1	7097.00	1.63
0	3	0	5	20804.00	1.41
0	3	0	10	20842.67	0.47
0	3	0	15	20843.67	13.70
0	3	0	20	20851.67	5.79
0	3	0	25	20858.67	4.99
0	3	5	1	11545.67	29.96
0	3	5	5	20851.00	2.45
0	3	5	10	20851.33	5.44
0	3	5	15	20853.00	1.41
0	3	5	20	20856.33	5.73
0	3	5	25	20857.33	4.50
0	3	10	1	12286.33	16.50
0	3	10	5	20858.00	2.16
0	3	10	10	20859.67	4.03
0	3	10	15	20857.67	3.77
0	3	10	20	20856.33	2.62
0	3	10	25	20857.00	8.04
0	3	15	1	12475.00	72.14
0	3	15	5	20817.67	4.11
0	3	15	10	20855.33	3.30
0	3	15	15	20850.67	4.64
0	3	15	20	20851.00	2.94
0	3	15	25	20852.67	1.25
0	3	20	1	12604.00	36.08
0	3	20	5	20835.67	22.40
0	3	20	10	20852.67	7.32
0	3	20	15	20844.00	1.41
0	3	20	20	20849.00	3.56
0	3	20	25	20850.00	2.16
0	3	25	1	12644.00	16.87
0	3	25	5	20844.33	3.09
0	3	25	10	20849.67	4.19
0	3	25	15	20848.67	4.64
0	3	25	20	20847.67	6.55
0	3	25	25	20845.67	8.18
0	4	0	1	9152.67	5.19
0	4	0	5	20860.00	1.63
0	4	0	10	20870.00	2.16
0	4	0	15	20865.33	2.05
0	4	0	20	20864.00	4.55
0	4	0	25	20867.33	1.89
0	4	5	1	12652.00	38.22
0	4	5	5	20879.33	16.86
0	4	5	10	20868.33	4.50
0	4	5	15	20870.33	1.25
0	4	5	20	20871.33	4.50
0	4	5	25	20874.00	2.16
0	4	10	1	12861.33	28.16
0	4	10	5	20858.33	6.02
0	4	10	10	20858.67	3.30
0	4	10	15	20871.33	0.47
0	4	10	20	20859.33	10.62
0	4	10	25	20871.00	2.94
0	4	15	1	12956.67	15.69
0	4	15	5	20866.00	5.35
0	4	15	10	20870.00	1.63
0	4	15	15	20871.67	1.25
0	4	15	20	20866.33	5.44
0	4	15	25	20870.33	2.62
0	4	20	1	12950.67	30.65
0	4	20	5	20872.33	4.03
0	4	20	10	20874.33	2.62
0	4	20	15	20864.33	9.53
0	4	20	20	20866.33	7.32
0	4	20	25	20867.67	4.92
0	4	25	1	12984.00	58.55
0	4	25	5	20871.67	1.89
0	4	25	10	20867.00	2.16
0	4	25	15	20866.67	5.31
0	4	25	20	20870.00	3.74
0	4	25	25	20881.00	17.05
0	5	0	1	10741.00	7.79
0	5	0	5	20975.67	4.99
0	5	0	10	20981.33	4.92
0	5	0	15	20989.67	1.70
0	5	0	20	20992.00	2.16
0	5	0	25	20999.00	1.63
0	5	5	1	13119.67	68.01
0	5	5	5	20991.67	7.59
0	5	5	10	21001.67	0.47
0	5	5	15	20993.67	2.62
0	5	5	20	20991.67	2.87
0	5	5	25	20992.67	5.25
0	5	10	1	13148.00	2.45
0	5	10	5	20998.00	3.74
0	5	10	10	20991.67	1.70
0	5	10	15	20989.00	5.72
0	5	10	20	20989.00	4.32
0	5	10	25	20992.67	3.30
0	5	15	1	13153.00	2.16
0	5	15	5	20988.00	4.97
0	5	15	10	20983.67	0.94
