# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-13T13:41:45-07:00

"DELAY (ns)"  THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	4	0	10	17525.67	31.33
0	4	0	15	17506.67	186.68
0	4	0	20	17646.00	9.42
0	4	0	25	16985.33	902.18
0	4	5	1	5951.33	36.30
0	4	5	5	17471.67	13.02
0	4	5	10	16874.00	698.89
0	4	5	15	16377.67	695.16
0	4	5	20	16220.33	1378.11
0	4	5	25	17031.00	404.62
0	4	10	1	6052.67	24.53
0	4	10	5	17427.33	1.89
0	4	10	10	16794.00	538.13
0	4	10	15	16574.00	1541.50
0	4	10	20	16682.33	734.49
0	4	10	25	16672.00	731.67
0	4	15	1	6110.67	20.73
0	4	15	5	17480.33	6.94
0	4	15	10	15836.67	434.80
0	4	15	15	15467.00	0.82
0	4	15	20	16262.67	1386.98
0	4	15	25	16572.00	813.63
0	4	20	1	6094.67	27.01
0	4	20	5	17501.67	1.25
0	4	20	10	16527.33	879.70
0	4	20	15	17006.00	333.76
0	4	20	20	15902.33	1354.01
0	4	20	25	16274.33	1408.84
0	4	25	1	6095.33	7.36
0	4	25	5	17507.33	3.30
0	4	25	10	15671.33	1027.58
0	4	25	15	16999.67	472.13
0	4	25	20	15435.67	1512.74
0	4	25	25	16646.67	782.90
0	5	0	1	5092.33	0.94
0	5	0	5	16122.00	4.97
0	5	0	10	17762.33	5.19
0	5	0	15	17757.00	5.89
0	5	0	20	17749.67	32.36
0	5	0	25	17742.67	40.29
0	5	5	1	6157.33	6.94
0	5	5	5	17777.00	5.35
0	5	5	10	17751.00	26.88
0	5	5	15	17757.33	28.87
0	5	5	20	17741.33	28.86
0	5	5	25	17775.67	6.18
0	5	10	1	6254.67	8.38
0	5	10	5	17771.33	2.05
0	5	10	10	17738.33	28.77
0	5	10	15	17775.33	10.08
0	5	10	20	17753.67	34.41
0	5	10	25	17699.00	48.79
0	5	15	1	6201.00	4.90
0	5	15	5	17785.67	2.05
0	5	15	10	17749.67	34.20
0	5	15	15	17776.33	9.46
0	5	15	20	17747.33	32.56
0	5	15	25	17763.00	9.42
0	5	20	1	6221.00	16.87
0	5	20	5	17775.67	4.11
0	5	20	10	17745.00	17.91
0	5	20	15	17754.00	16.87
0	5	20	20	17741.67	40.08
0	5	20	25	17738.00	41.21
0	5	25	1	6205.00	7.79
0	5	25	5	17771.67	4.50
0	5	25	10	17724.00	40.32
0	5	25	15	17752.33	25.72
0	5	25	20	17726.67	35.61
0	5	25	25	17707.33	49.75
0	6	0	1	5595.33	0.47
0	6	0	5	17692.00	0.82
0	6	0	10	17706.67	3.30
0	6	0	15	17707.00	2.45
0	6	0	20	17707.00	1.63
0	6	0	25	17714.67	5.44
0	6	5	1	6322.67	7.32
0	6	5	5	17709.33	3.30
0	6	5	10	17710.00	1.41
0	6	5	15	17718.33	8.26
0	6	5	20	17715.00	2.16
0	6	5	25	17716.00	9.63
0	6	10	1	6317.67	6.85
0	6	10	5	17706.33	1.70
0	6	10	10	17711.00	1.41
0	6	10	15	17712.00	1.63
0	6	10	20	17715.00	1.41
0	6	10	25	17718.00	2.16
0	6	15	1	6304.67	2.87
0	6	15	5	17707.67	0.47
0	6	15	10	17710.00	2.45
0	6	15	15	17713.67	2.62
0	6	15	20	17711.33	2.62
0	6	15	25	17711.67	0.94
0	6	20	1	6321.00	4.08
0	6	20	5	17708.00	1.41
0	6	20	10	17710.33	1.89
0	6	20	15	17712.00	1.41
0	6	20	20	17708.67	2.87
0	6	20	25	17711.00	0.00
0	6	25	1	6308.00	5.89
0	6	25	5	17707.00	0.82
0	6	25	10	17710.67	1.25
0	6	25	15	17712.33	1.70
0	6	25	20	17712.33	2.36
0	6	25	25	17714.00	0.82
0	7	0	1	6079.67	2.49
0	7	0	5	17812.67	0.94
0	7	0	10	17817.33	2.87
0	7	0	15	17826.67	0.94
0	7	0	20	17820.00	3.74
0	7	0	25	17821.33	1.25
0	7	5	1	6520.33	0.94
0	7	5	5	17821.33	1.25
0	7	5	10	17823.67	0.94
0	7	5	15	17822.67	1.89
0	7	5	20	17826.33	2.05
0	7	5	25	17824.67	2.05
0	7	10	1	6530.33	1.25
0	7	10	5	17818.67	1.25
0	7	10	10	17822.67	2.49
0	7	10	15	17825.00	0.82
0	7	10	20	17825.00	2.45
0	7	10	25	17828.67	3.30
0	7	15	1	6533.67	0.47
0	7	15	5	17821.67	2.36
0	7	15	10	17824.67	2.62
0	7	15	15	17826.00	3.56
0	7	15	20	17823.67	3.40
0	7	15	25	17825.00	2.83
0	7	20	1	6535.33	1.25
0	7	20	5	17822.33	1.25
0	7	20	10	17823.00	2.16
0	7	20	15	17825.00	1.63
0	7	20	20	17825.33	1.25
0	7	20	25	17823.00	2.16
0	7	25	1	6534.00	0.82
0	7	25	5	17821.33	1.89
0	7	25	10	17820.67	2.36
0	7	25	15	17823.33	1.70
0	7	25	20	17825.00	0.82
0	7	25	25	17823.33	1.25
0	8	0	1	6309.67	2.36
0	8	0	5	17827.33	0.47
0	8	0	10	17828.00	0.82
0	8	0	15	17839.67	2.62
0	8	0	20	17839.00	2.94
0	8	0	25	17838.00	1.63
0	8	5	1	6553.00	0.82
0	8	5	5	17837.33	4.50
0	8	5	10	17838.00	2.94
0	8	5	15	17839.33	2.87
0	8	5	20	17836.33	5.56
0	8	5	25	17841.67	1.70
0	8	10	1	6560.33	1.25
0	8	10	5	17834.67	3.40
0	8	10	10	17833.67	1.89
0	8	10	15	17840.00	4.24
0	8	10	20	17841.67	3.30
0	8	10	25	17840.00	1.63
0	8	15	1	6562.67	1.70
0	8	15	5	17838.33	1.70
0	8	15	10	17837.33	4.19
0	8	15	15	17840.67	1.70
0	8	15	20	17842.00	0.82
0	8	15	25	17840.00	0.82
0	8	20	1	6565.33	0.47
0	8	20	5	17836.00	4.55
0	8	20	10	17837.33	3.40
0	8	20	15	17840.67	3.40
0	8	20	20	17839.00	1.41
0	8	20	25	17838.00	3.27
0	8	25	1	6564.33	1.70
0	8	25	5	17836.00	1.63
0	8	25	10	17839.00	3.74
0	8	25	15	17839.67	3.09
0	8	25	20	17840.00	3.56
0	8	25	25	17837.33	2.87
0	9	0	1	6453.00	1.41
0	9	0	5	17833.67	3.77
0	9	0	10	17840.00	2.16
0	9	0	15	17845.67	1.25
0	9	0	20	17846.33	0.94
0	9	0	25	17846.67	3.30
0	9	5	1	6575.00	0.00
0	9	5	5	17847.00	0.00
0	9	5	10	17848.67	0.47
0	9	5	15	17847.67	0.94
0	9	5	20	17848.33	1.25
0	9	5	25	17848.00	0.82
0	9	10	1	6578.33	0.47
0	9	10	5	17846.00	1.41
0	9	10	10	17849.00	0.00
0	9	10	15	17847.67	1.70
0	9	10	20	17847.00	2.16
0	9	10	25	17846.33	2.62
0	9	15	1	6581.67	0.47
0	9	15	5	17846.00	1.41
0	9	15	10	17848.33	0.47
0	9	15	15	17846.00	0.00
0	9	15	20	17847.67	1.25
0	9	15	25	17844.67	3.30
0	9	20	1	6583.33	0.47
0	9	20	5	17844.33	3.09
0	9	20	10	17848.33	1.25
0	9	20	15	17845.00	2.45
0	9	20	20	17846.00	0.00
0	9	20	25	17845.00	1.63
0	9	25	1	6583.00	0.82
0	9	25	5	17846.67	2.05
0	9	25	10	17848.00	1.41
0	9	25	15	17844.67	4.03
0	9	25	20	17845.33	3.30
0	9	25	25	17846.00	1.41
0	10	0	1	6520.33	1.25
0	10	0	5	17846.33	0.94
0	10	0	10	17848.33	0.94
0	10	0	15	17850.00	0.00
0	10	0	20	17850.33	1.70
0	10	0	25	17854.67	0.47
0	10	5	1	6583.00	0.82
0	10	5	5	17851.00	0.00
0	10	5	10	17852.67	0.94
0	10	5	15	17851.67	0.47
0	10	5	20	17850.33	2.36
0	10	5	25	17851.33	0.94
0	10	10	1	6586.33	1.70
0	10	10	5	17852.33	0.47
0	10	10	10	17850.33	0.47
0	10	10	15	17852.67	0.47
0	10	10	20	17850.67	1.25
0	10	10	25	17853.33	0.47
0	10	15	1	6590.00	0.00
0	10	15	5	17851.67	0.47
0	10	15	10	17850.33	1.25
0	10	15	15	17851.33	2.05
0	10	15	20	17851.67	0.47
0	10	15	25	17851.33	1.70
0	10	20	1	6588.00	0.82
0	10	20	5	17852.33	0.94
0	10	20	10	17850.33	1.89
0	10	20	15	17851.33	1.70
0	10	20	20	17851.33	0.47
0	10	20	25	17850.00	1.41
0	10	25	1	6589.33	1.25
0	10	25	5	17851.67	0.47
0	10	25	10	17850.00	1.41
0	10	25	15	17851.67	0.47
0	10	25	20	17851.67	1.25
0	10	25	25	17849.00	1.41

# End of test: 2020-11-13T20:08:59-07:00
