# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-13T13:41:45-07:00

"DELAY (ns)"  THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	1358.67	1.70
0	1	0	5	4142.33	4.71
0	1	0	10	5679.67	2.49
0	1	0	15	5997.33	4.99
0	1	0	20	6206.67	56.82
0	1	0	25	6146.00	70.00
0	1	5	1	2460.00	6.38
0	1	5	5	5764.67	13.70
0	1	5	10	6089.67	32.71
0	1	5	15	6071.33	5.31
0	1	5	20	6066.67	6.18
0	1	5	25	6041.00	5.66
0	1	10	1	2760.00	11.05
0	1	10	5	5850.33	7.41
0	1	10	10	6113.00	11.05
0	1	10	15	6281.00	183.86
0	1	10	20	6134.33	6.02
0	1	10	25	5929.33	614.51
0	1	15	1	2861.67	6.02
0	1	15	5	5832.33	5.44
0	1	15	10	6111.33	5.73
0	1	15	15	6179.67	4.50
0	1	15	20	6157.67	3.86
0	1	15	25	6144.33	4.03
0	1	20	1	2902.67	21.82
0	1	20	5	5803.67	11.12
0	1	20	10	6122.67	1.25
0	1	20	15	6189.67	5.31
0	1	20	20	6201.33	10.84
0	1	20	25	6134.67	3.86
0	1	25	1	2960.67	4.78
0	1	25	5	5692.33	9.46
0	1	25	10	6155.33	3.68
0	1	25	15	6189.33	9.88
0	1	25	20	6117.67	3.68
0	1	25	25	5978.00	14.51
0	2	0	1	2390.00	0.82
0	2	0	5	7080.33	6.34
0	2	0	10	9148.67	2.05
0	2	0	15	9305.33	4.78
0	2	0	20	10236.00	547.19
0	2	0	25	10196.00	236.31
0	2	5	1	4210.67	9.29
0	2	5	5	9535.33	1.25
0	2	5	10	9534.67	549.71
0	2	5	15	10590.00	3.56
0	2	5	20	10075.33	910.29
0	2	5	25	9693.67	772.40
0	2	10	1	4538.00	16.51
0	2	10	5	9676.00	5.89
0	2	10	10	9340.33	753.33
0	2	10	15	10073.00	652.67
0	2	10	20	9990.00	867.62
0	2	10	25	10036.33	887.66
0	2	15	1	4668.33	9.67
0	2	15	5	9761.67	6.24
0	2	15	10	9130.67	836.78
0	2	15	15	10095.00	667.52
0	2	15	20	10156.67	707.58
0	2	15	25	10204.67	733.75
0	2	20	1	4765.00	18.06
0	2	20	5	9769.67	8.50
0	2	20	10	9958.00	580.55
0	2	20	15	9494.33	774.58
0	2	20	20	9689.67	713.72
0	2	20	25	9425.67	904.79
0	2	25	1	4819.00	17.91
0	2	25	5	9778.67	2.87
0	2	25	10	10382.67	13.02
0	2	25	15	9655.33	695.57
0	2	25	20	10162.33	698.51
0	2	25	25	10276.67	762.75
0	3	0	1	3369.67	1.89
0	3	0	5	10175.00	7.12
0	3	0	10	13724.00	7.26
0	3	0	15	13716.67	966.30
0	3	0	20	14727.00	567.81
0	3	0	25	14690.33	430.87
0	3	5	1	5423.67	11.44
0	3	5	5	13647.00	9.90
0	3	5	10	13793.67	491.20
0	3	5	15	12625.33	720.06
0	3	5	20	13527.67	1287.21
0	3	5	25	12814.33	636.97
0	3	10	1	5770.33	19.34
0	3	10	5	13703.67	6.65
0	3	10	10	13204.67	1230.31
0	3	10	15	13522.67	105.87
0	3	10	20	13149.67	1345.77
0	3	10	25	12579.33	796.67
0	3	15	1	5867.00	28.72
0	3	15	5	13733.00	4.32
0	3	15	10	13773.33	633.73
0	3	15	15	12724.33	463.74
0	3	15	20	13189.00	657.61
0	3	15	25	14055.67	678.34
0	3	20	1	5908.67	15.63
0	3	20	5	13723.00	3.56
0	3	20	10	13713.33	312.55
0	3	20	15	13113.67	789.89
0	3	20	20	12731.67	713.65
0	3	20	25	12656.00	788.45
0	3	25	1	5941.00	25.92
0	3	25	5	13705.33	5.31
0	3	25	10	12336.33	785.36
0	3	25	15	12623.67	710.41
0	3	25	20	12595.67	625.04
0	3	25	25	13144.00	547.47
0	4	0	1	4333.67	0.47
0	4	0	5	13412.00	25.47
