# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-15T18:55:35-07:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	8006.67	6.13
0	1	0	5	23394.00	4.55
0	1	0	10	23016.33	9.46
0	1	0	15	23084.00	121.63
0	1	0	20	22890.33	6.94
0	1	0	25	22994.00	9.63
0	1	5	1	15230.67	14.38
0	1	5	5	23429.33	0.47
0	1	5	10	23177.33	187.50
0	1	5	15	23131.33	218.26
0	1	5	20	23118.33	226.80
0	1	5	25	22916.33	13.70
0	1	10	1	17252.00	21.40
0	1	10	5	23433.33	0.94
0	1	10	10	23166.33	187.15
0	1	10	15	23002.33	1.70
0	1	10	20	23143.67	208.16
0	1	10	25	23126.33	223.99
0	1	15	1	18031.00	13.88
0	1	15	5	23432.33	1.70
0	1	15	10	23173.00	187.41
0	1	15	15	22998.00	1.41
0	1	15	20	23073.33	179.37
0	1	15	25	23280.00	217.79
0	1	20	1	18461.00	13.64
0	1	20	5	23434.33	2.62
0	1	20	10	23181.33	178.67
0	1	20	15	23129.00	215.67
0	1	20	20	22935.00	24.17
0	1	20	25	23123.67	226.51
0	1	25	1	18733.33	112.71
0	1	25	5	23430.33	5.91
0	1	25	10	23084.33	47.85
0	1	25	15	22964.67	12.68
0	1	25	20	23097.67	238.55
0	1	25	25	22978.00	52.38
0	2	0	1	13943.33	6.55
0	2	0	5	23390.33	2.49
0	2	0	10	23400.00	1.63
0	2	0	15	23401.67	5.31
0	2	0	20	23399.33	1.25
0	2	0	25	23396.67	2.87
0	2	5	1	23349.00	5.89
0	2	5	5	23399.00	2.16
0	2	5	10	23401.00	2.83
0	2	5	15	23405.33	2.05
0	2	5	20	23404.00	2.94
0	2	5	25	23398.33	3.30
0	2	10	1	23349.00	13.49
0	2	10	5	23395.33	4.78
0	2	10	10	23398.00	2.16
0	2	10	15	23402.00	2.16
0	2	10	20	23396.00	1.63
0	2	10	25	23394.67	4.50
0	2	15	1	23354.67	20.15
0	2	15	5	23396.67	5.31
0	2	15	10	23396.00	2.45
0	2	15	15	23395.00	4.32
0	2	15	20	23398.67	3.68
0	2	15	25	23398.33	5.79
0	2	20	1	23352.00	22.23
0	2	20	5	23399.33	3.86
0	2	20	10	23407.67	4.99
0	2	20	15	23403.00	3.74
0	2	20	20	23404.00	2.94
0	2	20	25	23402.67	2.49
0	2	25	1	23382.33	5.73
0	2	25	5	23403.67	4.99
0	2	25	10	23404.67	1.25
0	2	25	15	23396.67	4.78
0	2	25	20	23396.00	3.56
0	2	25	25	23400.67	4.50
0	3	0	1	19615.67	5.25
0	3	0	5	23416.00	0.82
0	3	0	10	23414.67	1.89
0	3	0	15	23413.67	1.25
0	3	0	20	23416.00	2.45
0	3	0	25	23415.00	1.63
0	3	5	1	23278.33	12.66
0	3	5	5	23414.67	2.87
0	3	5	10	23417.00	4.08
0	3	5	15	23413.67	2.36
0	3	5	20	23417.33	1.70
0	3	5	25	23412.67	3.86
0	3	10	1	23296.67	44.79
0	3	10	5	23413.00	1.41
0	3	10	10	23409.67	4.99
0	3	10	15	23420.00	2.16
0	3	10	20	23423.00	2.16
0	3	10	25	23418.67	2.62
0	3	15	1	23274.33	36.23
0	3	15	5	23416.67	2.62
0	3	15	10	23419.00	1.41
0	3	15	15	23415.00	2.45
0	3	15	20	23418.00	2.16
0	3	15	25	23418.67	3.40
0	3	20	1	23221.00	15.25
0	3	20	5	23415.00	2.45
0	3	20	10	23412.67	3.30
0	3	20	15	23419.67	2.87
0	3	20	20	23420.33	2.05
0	3	20	25	23422.67	2.49
0	3	25	1	23283.67	40.28
0	3	25	5	23421.00	3.56
0	3	25	10	23420.00	1.41
0	3	25	15	23419.67	3.68
0	3	25	20	23419.00	2.45
0	3	25	25	23417.00	1.41
0	4	0	1	23391.67	2.49
0	4	0	5	23429.67	12.28
0	4	0	10	23418.00	2.83
0	4	0	15	23421.67	0.47
0	4	0	20	23419.00	3.27
0	4	0	25	23417.33	5.31
0	4	5	1	23415.33	1.70
0	4	5	5	23420.33	0.47
0	4	5	10	23421.00	1.41
0	4	5	15	23420.67	1.70
0	4	5	20	23417.33	1.25
0	4	5	25	23420.33	2.87
0	4	10	1	23418.67	2.05
0	4	10	5	23422.33	1.70
0	4	10	10	23419.67	1.25
0	4	10	15	23429.00	16.31
0	4	10	20	23418.00	4.97
0	4	10	25	23417.33	6.80
0	4	15	1	23419.00	0.82
0	4	15	5	23423.67	0.94
0	4	15	10	23423.67	2.87
0	4	15	15	23424.67	1.70
0	4	15	20	23419.67	5.44
0	4	15	25	23421.33	3.09
0	4	20	1	23428.33	11.81
0	4	20	5	23423.00	2.45
0	4	20	10	23421.67	2.62
