# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-15T00:31:46-07:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	5482.00	10.61
0	1	0	5	17142.00	19.13
0	1	0	10	22674.00	8.52
0	1	0	15	22707.67	2.05
0	1	0	20	22728.00	5.72
0	1	0	25	22726.00	6.68
0	1	5	1	10327.67	15.54
0	1	5	5	22708.33	4.11
0	1	5	10	22718.00	4.90
0	1	5	15	22717.33	4.11
0	1	5	20	22723.33	3.09
0	1	5	25	22719.00	2.16
0	1	10	1	11586.00	8.52
0	1	10	5	22702.00	5.72
0	1	10	10	22722.67	0.47
0	1	10	15	22728.00	2.94
0	1	10	20	22721.00	4.90
0	1	10	25	22718.33	5.56
0	1	15	1	12107.67	20.07
0	1	15	5	22704.33	0.94
0	1	15	10	22730.00	2.16
0	1	15	15	22723.67	5.56
0	1	15	20	22722.00	4.32
0	1	15	25	22719.00	7.79
0	1	20	1	12376.33	54.71
0	1	20	5	22688.33	1.89
0	1	20	10	22681.33	30.65
0	1	20	15	22677.00	30.54
0	1	20	20	22713.00	2.16
0	1	20	25	22679.33	29.94
0	1	25	1	12494.33	8.96
0	1	25	5	22660.67	17.91
0	1	25	10	22715.00	8.60
0	1	25	15	22712.67	5.25
0	1	25	20	22693.67	3.77
0	1	25	25	22646.33	11.09
0	2	0	1	9617.00	4.24
0	2	0	5	22670.67	3.30
0	2	0	10	22675.33	3.86
0	2	0	15	22680.00	3.56
0	2	0	20	22679.00	2.94
0	2	0	25	22676.33	3.09
0	2	5	1	17649.67	57.05
0	2	5	5	22677.00	2.94
0	2	5	10	22676.67	6.18
0	2	5	15	22677.33	5.31
0	2	5	20	22684.67	3.68
0	2	5	25	22681.33	4.78
0	2	10	1	19149.00	57.49
0	2	10	5	22682.33	4.50
0	2	10	10	22682.67	5.73
0	2	10	15	22678.67	3.09
0	2	10	20	22682.67	3.40
0	2	10	25	22678.00	5.10
0	2	15	1	19818.67	7.13
0	2	15	5	22680.67	0.94
0	2	15	10	22680.33	3.40
0	2	15	15	22678.00	1.63
0	2	15	20	22675.67	5.56
0	2	15	25	22681.67	2.49
0	2	20	1	20135.67	73.91
0	2	20	5	22681.67	8.18
0	2	20	10	22678.33	5.25
0	2	20	15	22674.00	2.16
0	2	20	20	22681.33	5.79
0	2	20	25	22680.67	4.19
0	2	25	1	20409.67	29.01
0	2	25	5	22675.33	4.50
0	2	25	10	22673.33	3.09
0	2	25	15	22676.33	3.40
0	2	25	20	22673.33	2.05
0	2	25	25	22672.67	7.32
0	3	0	1	13533.00	3.74
0	3	0	5	22698.00	2.16
0	3	0	10	22698.67	5.44
0	3	0	15	22704.00	3.56
0	3	0	20	22707.67	4.03
0	3	0	25	22709.00	3.74
0	3	5	1	22456.33	75.19
0	3	5	5	22705.67	0.94
0	3	5	10	22708.00	2.16
0	3	5	15	22709.33	5.44
0	3	5	20	22708.67	3.30
0	3	5	25	22711.67	2.49
0	3	10	1	22630.67	19.34
0	3	10	5	22723.67	18.62
0	3	10	10	22714.33	2.87
0	3	10	15	22718.00	13.49
0	3	10	20	22712.33	6.24
0	3	10	25	22724.67	20.04
0	3	15	1	22640.33	20.37
0	3	15	5	22711.33	5.44
0	3	15	10	22726.33	23.46
0	3	15	15	22710.33	6.13
0	3	15	20	22714.00	3.56
0	3	15	25	22711.33	1.70
0	3	20	1	22639.33	20.85
0	3	20	5	22712.00	4.55
0	3	20	10	22712.00	6.38
0	3	20	15	22714.00	5.10
0	3	20	20	22714.00	5.89
0	3	20	25	22714.67	0.94
0	3	25	1	22655.00	7.07
0	3	25	5	22712.67	4.64
0	3	25	10	22710.67	6.65
0	3	25	15	22715.00	4.90
0	3	25	20	22714.33	2.87
0	3	25	25	22715.00	2.45
0	4	0	1	17462.00	9.09
0	4	0	5	22718.33	0.47
0	4	0	10	22723.00	1.63
0	4	0	15	22739.00	17.80
0	4	0	20	22729.00	1.41
0	4	0	25	22724.00	5.35
0	4	5	1	22486.00	22.11
0	4	5	5	22721.33	3.86
0	4	5	10	22721.33	4.50
0	4	5	15	22724.33	3.68
