# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:81:00.0
# logical name: ens5f0
# version: 00
# serial: 0c:42:a1:a4:89:f8
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.2 latency=0 link=yes multicast=yes
# resources: iomemory:71d0-71cf irq:238 memory:71d84000000-71d85ffffff memory:71d88000000-71d89ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.3 present.
# 
# Handle 0x0400, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU1
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0700
# 	L2 Cache Handle: 0x0701
# 	L3 Cache Handle: 0x0702
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# 
# Handle 0x0401, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: CPU2
# 	Type: Central Processor
# 	Family: Zen
# 	Manufacturer: AMD
# 	ID: 10 0F 83 00 FF FB 8B 17
# 	Signature: Family 23, Model 49, Stepping 0
# 	Flags:
# 		FPU (Floating-point unit on-chip)
# 		VME (Virtual mode extension)
# 		DE (Debugging extension)
# 		PSE (Page size extension)
# 		TSC (Time stamp counter)
# 		MSR (Model specific registers)
# 		PAE (Physical address extension)
# 		MCE (Machine check exception)
# 		CX8 (CMPXCHG8 instruction supported)
# 		APIC (On-chip APIC hardware supported)
# 		SEP (Fast system call)
# 		MTRR (Memory type range registers)
# 		PGE (Page global enable)
# 		MCA (Machine check architecture)
# 		CMOV (Conditional move instruction supported)
# 		PAT (Page attribute table)
# 		PSE-36 (36-bit page size extension)
# 		CLFSH (CLFLUSH instruction supported)
# 		MMX (MMX technology supported)
# 		FXSR (FXSAVE and FXSTOR instructions supported)
# 		SSE (Streaming SIMD extensions)
# 		SSE2 (Streaming SIMD extensions 2)
# 		HTT (Multi-threading)
# 	Version: AMD EPYC 7542 32-Core Processor                
# 	Voltage: 1.1 V
# 	External Clock: 16000 MHz
# 	Max Speed: 3200 MHz
# 	Current Speed: 2900 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Socket SP3
# 	L1 Cache Handle: 0x0703
# 	L2 Cache Handle: 0x0704
# 	L3 Cache Handle: 0x0705
# 	Serial Number: Not Specified
# 	Asset Tag: Not Specified
# 	Part Number: Not Specified
# 	Core Count: 32
# 	Core Enabled: 32
# 	Thread Count: 64
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Execute Protection
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       263817680 kB
# Node 1 MemTotal:       264199032 kB
# ========================================
#
# Start of test: 2020-12-22T04:51:29,933079882-05:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	1528.33	12.92
0	1	0	5	3867.33	4.19
0	1	0	10	4494.67	198.77
0	1	0	15	4607.00	200.11
0	1	0	20	4680.00	94.75
0	1	0	25	4652.67	1.25
0	1	5	1	2142.00	20.12
0	1	5	5	4594.00	49.89
0	1	5	10	4557.67	8.73
0	1	5	15	4877.67	18.66
0	1	5	20	5047.33	16.68
0	1	5	25	5103.67	0.47
0	1	10	1	2263.00	14.70
0	1	10	5	4661.00	33.98
0	1	10	10	4611.33	20.89
0	1	10	15	4781.00	9.20
0	1	10	20	4765.33	14.73
0	1	10	25	4691.33	27.86
0	1	15	1	2296.33	15.15
0	1	15	5	4443.67	6.13
0	1	15	10	4527.33	6.02
0	1	15	15	4628.67	9.53
0	1	15	20	4572.00	12.03
0	1	15	25	4501.33	15.46
0	1	20	1	2316.00	12.36
0	1	20	5	4192.67	3.40
0	1	20	10	4344.67	3.86
0	1	20	15	4464.33	7.32
0	1	20	20	4409.33	10.53
0	1	20	25	4353.00	10.42
0	1	25	1	2326.33	12.50
0	1	25	5	4007.67	20.01
0	1	25	10	4279.67	5.31
0	1	25	15	4365.00	8.29
0	1	25	20	4297.00	11.34
0	1	25	25	4286.00	6.38
0	2	0	1	3860.67	6.55
0	2	0	5	10325.33	25.25
0	2	0	10	11976.33	22.90
0	2	0	15	12709.33	47.93
0	2	0	20	13188.00	14.45
0	2	0	25	13169.00	32.26
0	2	5	1	5857.67	11.15
0	2	5	5	11829.00	22.02
0	2	5	10	12962.33	13.12
0	2	5	15	13690.00	2.16
0	2	5	20	13841.33	9.10
0	2	5	25	13954.00	4.55
0	2	10	1	6137.33	18.08
0	2	10	5	11871.00	13.95
0	2	10	10	13214.00	49.93
0	2	10	15	13571.67	16.58
0	2	10	20	13541.67	14.64
0	2	10	25	13659.33	10.21
0	2	15	1	6231.00	17.68
0	2	15	5	11652.67	16.44
0	2	15	10	13132.00	29.13
0	2	15	15	13318.67	13.02
0	2	15	20	13185.33	36.38
0	2	15	25	13261.33	218.65
0	2	20	1	6262.67	23.33
0	2	20	5	11715.33	35.56
0	2	20	10	12995.00	23.42
0	2	20	15	12993.67	23.33
0	2	20	20	13032.67	42.19
0	2	20	25	12533.00	43.57
0	2	25	1	6251.33	15.43
0	2	25	5	11691.33	7.41
0	2	25	10	12838.33	44.29
0	2	25	15	12785.67	8.73
0	2	25	20	12822.67	33.51
0	2	25	25	12323.67	9.74
0	3	0	1	6648.00	34.77
0	3	0	5	16074.67	10.27
0	3	0	10	17718.33	20.07
0	3	0	15	18872.00	137.92
0	3	0	20	20406.33	103.72
0	3	0	25	20762.67	400.30
0	3	5	1	9139.00	19.03
0	3	5	5	18083.00	20.22
0	3	5	10	19321.00	333.93
0	3	5	15	20508.33	441.93
0	3	5	20	21190.00	67.07
0	3	5	25	21227.00	162.04
0	3	10	1	9468.33	23.47
0	3	10	5	18314.00	172.69
0	3	10	10	19627.33	417.65
0	3	10	15	20802.00	47.90
0	3	10	20	20811.67	8.01
0	3	10	25	21008.33	64.53
0	3	15	1	9577.67	46.65
0	3	15	5	18063.67	22.22
0	3	15	10	19217.00	288.50
0	3	15	15	20113.00	357.89
0	3	15	20	20664.67	112.47
0	3	15	25	19937.67	3.30
0	3	20	1	9643.67	36.97
0	3	20	5	18162.67	31.93
0	3	20	10	18868.00	292.05
0	3	20	15	20008.67	92.76
0	3	20	20	20078.00	345.76
0	3	20	25	19670.33	214.64
0	3	25	1	9657.33	23.33
0	3	25	5	18392.67	269.41
0	3	25	10	19005.33	543.73
0	3	25	15	19961.67	27.35
0	3	25	20	20117.00	33.95
0	3	25	25	19287.33	41.99
0	4	0	1	8813.33	29.96
0	4	0	5	20170.33	31.59
0	4	0	10	22673.00	30.74
0	4	0	15	23083.33	1146.65
0	4	0	20	24918.33	99.97
0	4	0	25	24927.00	398.94
0	4	5	1	11714.00	81.55
0	4	5	5	22374.67	42.82
0	4	5	10	24233.33	36.23
0	4	5	15	25276.00	76.37
0	4	5	20	25415.00	22.86
0	4	5	25	25580.67	50.89
0	4	10	1	12154.00	43.01
0	4	10	5	22574.67	88.66
0	4	10	10	24621.33	236.02
0	4	10	15	25124.67	71.69
0	4	10	20	25067.33	59.80
0	4	10	25	25142.00	31.02
0	4	15	1	12289.67	9.46
0	4	15	5	22638.00	189.53
0	4	15	10	24397.33	602.06
0	4	15	15	24459.67	345.45
0	4	15	20	24521.00	81.96
0	4	15	25	24951.00	113.57
0	4	20	1	12335.67	68.82
0	4	20	5	22683.67	111.60
0	4	20	10	24440.67	50.08
0	4	20	15	24397.00	36.91
0	4	20	20	24053.33	335.37
0	4	20	25	23150.33	28.55
0	4	25	1	12336.33	53.95
0	4	25	5	22440.33	469.29
0	4	25	10	23899.33	320.65
0	4	25	15	24126.67	90.54
