# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:03:00.0
# logical name: p0
# version: 00
# serial: 0c:42:a1:a4:89:c0
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list rom ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.4 latency=0 link=yes multicast=yes
# resources: iomemory:e20-e1f irq:64 memory:e200000000-e201ffffff memory:e000000000-e0000fffff memory:e204000000-e205ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.1.1 present.
# 
# Handle 0x0004, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: Socket 0
# 	Type: Central Processor
# 	Family: ARMv8
# 	Manufacturer: https://www.mellanox.com
# 	ID: 80 D0 1F 41 00 00 00 00
# 	Signature: Implementor 0x41, Variant 0x1, Architecture 15, Part 0xd08, Revision 0
# 	Version: Mellanox BlueField-2 [A0] A72(D08) r1p0
# 	Voltage: 0.8 V
# 	External Clock: 200 MHz
# 	Max Speed: 2500 MHz
# 	Current Speed: 2500 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Other
# 	L1 Cache Handle: 0x0005
# 	L2 Cache Handle: 0x0006
# 	L3 Cache Handle: 0x0007
# 	Serial Number: Unspecified Serial Number
# 	Asset Tag: Unspecified Asset Tag
# 	Part Number: OPN: MBF2H516A-CENO
# 	Core Count: 8
# 	Core Enabled: 8
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       16348520 kB
# ========================================
#
# System Information
# ========================================
# Linux linux 5.4.44-mlnx.14.gd7fb187 #1 SMP PREEMPT Tue Sep 15 16:18:01 UTC 2020 aarch64 aarch64 aarch64 GNU/Linux
# ========================================
#
# Start of test: 2020-12-29T17:59:54,090838857+00:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	3993.33	4.19
0	1	0	5	4740.67	13.47
0	1	0	10	4764.67	1.70
0	1	0	15	4770.00	3.74
0	1	0	20	4749.00	5.89
0	1	0	25	4754.00	4.55
0	1	5	1	4657.67	11.26
0	1	5	5	4798.00	6.48
0	1	5	10	4768.67	8.06
0	1	5	15	4767.67	7.04
0	1	5	20	4768.33	7.04
0	1	5	25	4764.67	7.32
0	1	10	1	4733.00	9.42
0	1	10	5	4804.00	2.83
0	1	10	10	4798.67	6.24
0	1	10	15	4779.33	8.65
0	1	10	20	4774.67	12.50
0	1	10	25	4773.67	9.29
0	1	15	1	4727.33	3.68
0	1	15	5	4814.33	13.91
0	1	15	10	4782.00	6.16
0	1	15	15	4774.33	19.60
0	1	15	20	4767.33	5.44
0	1	15	25	4771.00	9.09
0	1	20	1	4726.00	3.56
0	1	20	5	4805.67	2.36
0	1	20	10	4797.00	6.48
0	1	20	15	4773.00	9.63
0	1	20	20	4783.00	8.49
0	1	20	25	4783.00	5.10
0	1	25	1	4742.67	10.21
0	1	25	5	4815.00	11.05
0	1	25	10	4788.33	2.87
0	1	25	15	4775.67	9.84
0	1	25	20	4784.00	7.79
0	1	25	25	4766.00	5.35
0	2	0	1	3593.67	18.93
0	2	0	5	3049.67	16.01
0	2	0	10	4772.33	6.60
0	2	0	15	4779.67	13.27
0	2	0	20	4790.00	2.16
0	2	0	25	4813.67	3.40
0	2	5	1	2925.33	10.78
0	2	5	5	3001.33	45.17
0	2	5	10	4807.67	5.79
0	2	5	15	4813.67	8.65
0	2	5	20	4826.00	3.74
0	2	5	25	4834.33	5.73
0	2	10	1	2888.67	5.79
0	2	10	5	2967.00	9.42
0	2	10	10	4798.67	10.34
0	2	10	15	4808.67	3.68
0	2	10	20	4813.00	5.66
0	2	10	25	4812.00	9.42
0	2	15	1	2902.67	23.80
0	2	15	5	3011.67	42.08
0	2	15	10	4805.33	8.34
0	2	15	15	4807.67	3.09
0	2	15	20	4815.67	4.11
0	2	15	25	4831.00	13.14
0	2	20	1	2869.67	14.66
0	2	20	5	3005.33	48.06
0	2	20	10	4799.33	6.94
0	2	20	15	4802.67	1.70
0	2	20	20	4828.67	8.73
0	2	20	25	4825.67	5.44
0	2	25	1	2872.00	8.16
0	2	25	5	3037.33	43.38
0	2	25	10	4801.00	0.82
0	2	25	15	4809.33	2.49
0	2	25	20	4810.33	2.36
0	2	25	25	4827.67	3.30
0	3	0	1	3875.33	33.56
0	3	0	5	3659.67	15.97
0	3	0	10	5773.00	9.80
0	3	0	15	5743.67	17.91
0	3	0	20	5806.33	7.59
0	3	0	25	5816.67	5.25
0	3	5	1	3444.67	37.51
0	3	5	5	3617.00	36.81
0	3	5	10	5699.67	3.40
0	3	5	15	5765.67	35.35
0	3	5	20	5726.00	19.30
0	3	5	25	5805.33	21.64
0	3	10	1	3470.00	31.97
0	3	10	5	3684.67	99.26
0	3	10	10	5773.67	8.06
0	3	10	15	5750.33	12.81
0	3	10	20	5725.33	1.70
0	3	10	25	5779.33	20.24
0	3	15	1	3463.33	26.16
0	3	15	5	3682.67	93.93
0	3	15	10	5757.00	31.84
0	3	15	15	5759.67	47.62
0	3	15	20	5835.00	32.14
0	3	15	25	5814.00	18.06
0	3	20	1	3455.33	29.95
0	3	20	5	3628.00	27.18
0	3	20	10	5758.33	21.23
0	3	20	15	5749.33	19.48
0	3	20	20	5812.33	19.60
0	3	20	25	5833.33	33.98
0	3	25	1	3454.67	14.66
0	3	25	5	3686.33	93.47
0	3	25	10	5703.33	13.30
0	3	25	15	5762.67	47.95
0	3	25	20	5769.67	18.80
0	3	25	25	5821.00	37.00
0	4	0	1	4299.33	19.77
0	4	0	5	4991.33	7.59
0	4	0	10	5788.67	4.11
0	4	0	15	5807.67	6.94
0	4	0	20	5879.67	19.60
0	4	0	25	5898.00	9.27
0	4	5	1	4500.67	40.20
0	4	5	5	4917.33	63.51
0	4	5	10	5791.00	8.98
0	4	5	15	5839.33	8.58
0	4	5	20	5814.33	20.89
0	4	5	25	5914.00	20.51
0	4	10	1	4538.67	56.58
0	4	10	5	4911.33	55.73
0	4	10	10	5788.33	5.19
0	4	10	15	5819.33	17.56
0	4	10	20	5886.67	74.48
0	4	10	25	5925.33	11.81
0	4	15	1	4550.33	34.45
0	4	15	5	4879.00	41.38
0	4	15	10	5715.00	11.43
0	4	15	15	5818.00	28.86
0	4	15	20	5840.00	20.85
0	4	15	25	5914.33	47.99
0	4	20	1	4488.00	58.55
0	4	20	5	4905.67	67.46
0	4	20	10	5801.33	23.04
0	4	20	15	5826.33	24.00
0	4	20	20	5826.67	17.59
0	4	20	25	5890.00	24.54
0	4	25	1	4543.67	30.44
0	4	25	5	4903.67	57.41
0	4	25	10	5713.00	19.25
0	4	25	15	5839.67	50.28
0	4	25	20	5829.00	27.58
0	4	25	25	5929.67	38.00
0	5	0	1	4235.33	267.79
0	5	0	5	5017.67	19.48
0	5	0	10	5701.33	3.40
0	5	0	15	5728.67	3.86
0	5	0	20	5736.33	8.96
0	5	0	25	5836.67	7.41
0	5	5	1	4263.67	35.78
0	5	5	5	4914.67	39.33
0	5	5	10	5750.00	8.52
0	5	5	15	5766.00	14.31
0	5	5	20	5754.33	4.99
0	5	5	25	5845.67	8.65
0	5	10	1	4402.33	92.09
0	5	10	5	4903.33	50.44
0	5	10	10	5762.33	18.19
0	5	10	15	5755.67	7.76
0	5	10	20	5760.00	14.85
0	5	10	25	5865.33	33.81
0	5	15	1	4367.33	64.13
0	5	15	5	4837.00	11.05
0	5	15	10	5670.67	14.43
0	5	15	15	5750.67	4.50
0	5	15	20	5790.33	44.03
0	5	15	25	5858.67	8.22
0	5	20	1	4384.67	25.30
0	5	20	5	4893.67	48.78
0	5	20	10	5768.67	10.34
0	5	20	15	5752.67	4.03
0	5	20	20	5745.67	7.85
0	5	20	25	5827.00	2.45
0	5	25	1	4329.33	38.73
0	5	25	5	5002.00	56.87
0	5	25	10	5677.67	8.18
0	5	25	15	5757.00	7.07
0	5	25	20	5877.33	14.82
0	5	25	25	5844.33	6.34
0	6	0	1	5001.33	7.13
0	6	0	5	5770.00	3.56
0	6	0	10	7097.33	26.64
0	6	0	15	7144.67	1.25
0	6	0	20	7127.67	2.49
0	6	0	25	7192.33	4.03
0	6	5	1	5625.67	6.55
0	6	5	5	5875.67	7.93
0	6	5	10	7162.33	26.13
0	6	5	15	7192.00	8.64
0	6	5	20	7174.00	2.94
0	6	5	25	7223.00	0.82
0	6	10	1	5720.67	17.82
0	6	10	5	5880.33	13.12
0	6	10	10	7212.00	17.72
0	6	10	15	7205.00	2.94
0	6	10	20	7258.33	7.04
0	6	10	25	7232.67	14.06
0	6	15	1	5728.33	22.37
0	6	15	5	5887.67	5.91
0	6	15	10	7197.00	27.80
0	6	15	15	7206.33	1.70
0	6	15	20	7256.33	9.67
0	6	15	25	7227.67	1.70
0	6	20	1	5741.33	6.80
0	6	20	5	5885.33	4.11
0	6	20	10	7231.67	0.47
0	6	20	15	7205.33	0.47
0	6	20	20	7177.33	3.09
0	6	20	25	7221.67	12.36
0	6	25	1	5754.67	4.92
0	6	25	5	5896.00	13.49
0	6	25	10	7156.00	4.90
0	6	25	15	7206.67	2.87
0	6	25	20	7254.33	5.73
0	6	25	25	7226.33	2.05
0	7	0	1	4808.67	32.97
0	7	0	5	5684.00	68.71
0	7	0	10	7634.00	2.94
0	7	0	15	7756.33	2.36
0	7	0	20	7871.00	4.90
0	7	0	25	7790.00	4.32
0	7	5	1	5363.00	111.14
0	7	5	5	5788.33	112.51
0	7	5	10	7877.67	3.09
0	7	5	15	7791.67	1.89
0	7	5	20	7705.33	4.92
0	7	5	25	7809.67	2.36
0	7	10	1	5383.33	178.60
0	7	10	5	5687.00	47.12
0	7	10	10	7704.33	5.19
0	7	10	15	7800.67	3.86
0	7	10	20	7902.67	6.60
0	7	10	25	7800.33	31.65
0	7	15	1	5529.33	28.08
0	7	15	5	5647.33	26.04
0	7	15	10	7704.67	1.70
0	7	15	15	7800.33	3.86
0	7	15	20	7714.33	2.62
0	7	15	25	7813.33	1.70
0	7	20	1	5061.33	586.39
0	7	20	5	5837.33	111.08
0	7	20	10	7704.67	2.05
0	7	20	15	7806.33	2.62
0	7	20	20	7712.67	2.05
0	7	20	25	7782.67	1.70
0	7	25	1	5320.67	157.39
0	7	25	5	5836.33	116.24
0	7	25	10	7702.67	3.30
0	7	25	15	7802.33	2.62
0	7	25	20	7716.00	2.45
0	7	25	25	7812.67	4.11
0	8	0	1	4120.33	24.94
0	8	0	5	5036.00	53.19
0	8	0	10	8202.67	3.68
0	8	0	15	8345.33	1.89
0	8	0	20	8225.00	0.00
0	8	0	25	8364.33	8.65
0	8	5	1	4799.00	88.93
0	8	5	5	5102.00	66.79
0	8	5	10	8308.67	98.54
0	8	5	15	8373.33	2.87
0	8	5	20	8239.67	0.94
0	8	5	25	8381.67	4.92
0	8	10	1	4977.67	87.21
0	8	10	5	5051.00	154.77
0	8	10	10	8243.33	3.30
0	8	10	15	8370.33	0.47
0	8	10	20	8525.67	0.47
0	8	10	25	8418.00	9.63
0	8	15	1	4499.00	526.10
0	8	15	5	5074.33	97.52
0	8	15	10	8525.67	6.13
0	8	15	15	8376.33	3.77
0	8	15	20	8412.33	120.21
0	8	15	25	8379.00	2.16
0	8	20	1	5047.33	42.94
0	8	20	5	4963.33	85.21
0	8	20	10	8245.00	2.94
0	8	20	15	8370.33	8.01
0	8	20	20	8240.00	3.74
0	8	20	25	8340.33	14.97
0	8	25	1	5039.67	23.57
0	8	25	5	5061.67	104.94
0	8	25	10	8531.33	3.09
0	8	25	15	8373.33	3.09
0	8	25	20	8520.33	4.99
0	8	25	25	8372.33	4.78

# End of test: 2020-12-29T23:10:03,097485981+00:00
