# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:03:00.0
# logical name: p0
# version: 00
# serial: 0c:42:a1:a4:89:c0
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list rom ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.4 latency=0 link=yes multicast=yes
# resources: iomemory:e20-e1f irq:64 memory:e200000000-e201ffffff memory:e000000000-e0000fffff memory:e204000000-e205ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.1.1 present.
# 
# Handle 0x0004, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: Socket 0
# 	Type: Central Processor
# 	Family: ARMv8
# 	Manufacturer: https://www.mellanox.com
# 	ID: 80 D0 1F 41 00 00 00 00
# 	Signature: Implementor 0x41, Variant 0x1, Architecture 15, Part 0xd08, Revision 0
# 	Version: Mellanox BlueField-2 [A0] A72(D08) r1p0
# 	Voltage: 0.8 V
# 	External Clock: 200 MHz
# 	Max Speed: 2500 MHz
# 	Current Speed: 2500 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Other
# 	L1 Cache Handle: 0x0005
# 	L2 Cache Handle: 0x0006
# 	L3 Cache Handle: 0x0007
# 	Serial Number: Unspecified Serial Number
# 	Asset Tag: Unspecified Asset Tag
# 	Part Number: OPN: MBF2H516A-CENO
# 	Core Count: 8
# 	Core Enabled: 8
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       16348520 kB
# ========================================
#
# System Information
# ========================================
# Linux linux 5.4.44-mlnx.14.gd7fb187 #1 SMP PREEMPT Tue Sep 15 16:18:01 UTC 2020 aarch64 aarch64 aarch64 GNU/Linux
# ========================================
#
# Start of test: 2021-01-01T01:55:26,984659782+00:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	21759.33	94.61
0	1	0	5	31272.67	36.94
0	1	0	10	32074.00	45.99
0	1	0	15	32243.33	20.34
0	1	0	20	32229.33	39.72
0	1	0	25	32110.67	33.51
0	1	5	1	30897.67	52.49
0	1	5	5	32853.00	92.74
0	1	5	10	32683.33	41.68
0	1	5	15	32613.67	30.66
0	1	5	20	32454.00	30.10
0	1	5	25	32369.00	69.23
0	1	10	1	31968.67	98.74
0	1	10	5	32977.67	14.20
0	1	10	10	32703.33	33.00
0	1	10	15	32635.00	21.92
0	1	10	20	32500.00	78.39
0	1	10	25	32413.67	45.54
0	1	15	1	32294.67	56.82
0	1	15	5	32986.67	26.11
0	1	15	10	32819.67	18.66
0	1	15	15	32666.67	63.44
0	1	15	20	32506.00	23.62
0	1	15	25	32409.67	28.76
0	1	20	1	32406.00	84.19
0	1	20	5	33008.33	35.98
0	1	20	10	32854.33	25.72
0	1	20	15	32591.00	84.67
0	1	20	20	32508.33	23.98
0	1	20	25	32453.33	6.34
0	1	25	1	32456.00	35.36
0	1	25	5	33205.67	68.94
0	1	25	10	32855.67	30.40
0	1	25	15	32739.67	31.33
0	1	25	20	32515.33	50.43
0	1	25	25	32360.33	37.71
0	2	0	1	20752.00	22.20
0	2	0	5	22032.67	333.31
0	2	0	10	32254.33	84.57
0	2	0	15	32680.33	124.94
0	2	0	20	32926.67	63.92
0	2	0	25	33119.67	1.89
0	2	5	1	20687.33	153.94
0	2	5	5	22178.33	383.29
0	2	5	10	33002.67	35.97
0	2	5	15	33204.00	56.65
0	2	5	20	33374.67	21.31
0	2	5	25	33515.00	63.27
0	2	10	1	21035.67	66.46
0	2	10	5	23525.00	32.44
0	2	10	10	33008.67	76.77
0	2	10	15	33309.67	63.12
0	2	10	20	33395.33	15.17
0	2	10	25	33631.33	77.18
0	2	15	1	21327.00	152.27
0	2	15	5	23046.33	156.63
0	2	15	10	33126.67	86.88
0	2	15	15	33271.67	95.23
0	2	15	20	33337.00	8.29
0	2	15	25	33536.00	38.76
0	2	20	1	21313.67	112.02
0	2	20	5	23272.33	63.25
0	2	20	10	33030.00	69.53
0	2	20	15	33177.00	37.80
0	2	20	20	33412.33	63.80
0	2	20	25	33603.00	22.69
0	2	25	1	21440.33	103.49
0	2	25	5	23291.00	248.90
0	2	25	10	33064.67	98.39
0	2	25	15	33268.67	26.64
0	2	25	20	33457.00	42.01
0	2	25	25	33660.33	47.75
