# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT42822 BlueField-2 integrated ConnectX-6 Dx network controller
# vendor: Mellanox Technologies
# physical id: 0
# bus info: pci@0000:03:00.0
# logical name: p0
# version: 00
# serial: 0c:42:a1:a4:89:c0
# capacity: 40Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list rom ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd 40000bt-fd autonegotiation
# configuration: autonegotiation=on broadcast=yes driver=mlx5_core driverversion=5.1-2.3.7 duplex=full firmware=24.28.2006 (MT_0000000477) ip=10.10.1.4 latency=0 link=yes multicast=yes
# resources: iomemory:e20-e1f irq:64 memory:e200000000-e201ffffff memory:e000000000-e0000fffff memory:e204000000-e205ffffff
#
# Device speed: 100000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information (via dmidecode)
# ========================================
# Getting SMBIOS data from sysfs.
# SMBIOS 3.1.1 present.
# 
# Handle 0x0004, DMI type 4, 48 bytes
# Processor Information
# 	Socket Designation: Socket 0
# 	Type: Central Processor
# 	Family: ARMv8
# 	Manufacturer: https://www.mellanox.com
# 	ID: 80 D0 1F 41 00 00 00 00
# 	Signature: Implementor 0x41, Variant 0x1, Architecture 15, Part 0xd08, Revision 0
# 	Version: Mellanox BlueField-2 [A0] A72(D08) r1p0
# 	Voltage: 0.8 V
# 	External Clock: 200 MHz
# 	Max Speed: 2500 MHz
# 	Current Speed: 2500 MHz
# 	Status: Populated, Enabled
# 	Upgrade: Other
# 	L1 Cache Handle: 0x0005
# 	L2 Cache Handle: 0x0006
# 	L3 Cache Handle: 0x0007
# 	Serial Number: Unspecified Serial Number
# 	Asset Tag: Unspecified Asset Tag
# 	Part Number: OPN: MBF2H516A-CENO
# 	Core Count: 8
# 	Core Enabled: 8
# 	Characteristics:
# 		64-bit capable
# 		Multi-Core
# 		Hardware Thread
# 		Enhanced Virtualization
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       16348520 kB
# ========================================
#
# System Information
# ========================================
# Linux linux 5.4.44-mlnx.14.gd7fb187 #1 SMP PREEMPT Tue Sep 15 16:18:01 UTC 2020 aarch64 aarch64 aarch64 GNU/Linux
# ========================================
#
# Start of test: 2020-12-31T20:23:11,724986127+00:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	21557.67	88.64
0	1	0	5	30731.67	60.50
0	1	0	10	31512.00	25.66
0	1	0	15	31675.33	13.82
0	1	0	20	31705.00	15.75
0	1	0	25	31599.00	14.17
0	1	5	1	30518.00	54.63
0	1	5	5	32238.00	91.22
0	1	5	10	32121.00	20.85
0	1	5	15	31989.00	37.69
0	1	5	20	31961.67	55.15
0	1	5	25	31757.67	18.15
0	1	10	1	31331.33	158.76
0	1	10	5	32366.67	47.86
0	1	10	10	32124.67	19.67
0	1	10	15	32049.67	18.37
0	1	10	20	31874.33	16.98
0	1	10	25	31784.00	16.87
0	1	15	1	31614.33	33.47
0	1	15	5	32409.33	83.56
0	1	15	10	32196.33	33.07
0	1	15	15	32045.33	49.80
0	1	15	20	31904.33	23.91
0	1	15	25	31773.33	17.25
0	1	20	1	31812.33	29.85
0	1	20	5	32373.67	14.38
0	1	20	10	32166.00	14.35
0	1	20	15	32014.33	70.21
0	1	20	20	31912.00	30.87
0	1	20	25	31752.67	72.09
0	1	25	1	31893.00	15.12
0	1	25	5	32434.00	54.45
0	1	25	10	32206.33	23.41
0	1	25	15	32053.67	36.15
0	1	25	20	31919.00	8.29
0	1	25	25	31792.67	12.66
0	2	0	1	20660.67	47.42
0	2	0	5	21418.33	48.01
0	2	0	10	31557.33	120.05
0	2	0	15	32043.67	52.77
0	2	0	20	32265.00	28.33
0	2	0	25	32481.33	34.12
0	2	5	1	20108.33	128.57
0	2	5	5	21463.33	486.08
0	2	5	10	32294.67	107.55
0	2	5	15	32565.67	20.04
0	2	5	20	32773.33	50.87
0	2	5	25	32914.67	89.89
0	2	10	1	20708.67	147.44
0	2	10	5	22341.67	401.34
0	2	10	10	32393.33	62.26
0	2	10	15	32529.67	33.07
0	2	10	20	32796.00	26.62
0	2	10	25	32953.33	24.51
0	2	15	1	20753.00	93.56
0	2	15	5	22459.33	320.83
0	2	15	10	32394.67	40.93
0	2	15	15	32597.00	64.81
0	2	15	20	32788.67	16.21
0	2	15	25	32897.33	30.35
0	2	20	1	21066.00	131.13
0	2	20	5	22713.67	311.03
0	2	20	10	32439.00	51.46
0	2	20	15	32582.67	19.75
0	2	20	20	32742.67	67.12
0	2	20	25	32954.33	44.39
0	2	25	1	21004.00	140.98
0	2	25	5	22532.33	241.10
0	2	25	10	32389.33	22.69
0	2	25	15	32572.67	41.81
0	2	25	20	32793.67	50.34
0	2	25	25	32960.33	40.43
0	3	0	1	25442.67	97.62
0	3	0	5	27852.00	118.27
0	3	0	10	42358.33	34.32
0	3	0	15	42964.33	98.99
0	3	0	20	43587.67	54.43
0	3	0	25	44005.67	116.18
0	3	5	1	25654.33	142.87
0	3	5	5	28030.33	145.18
0	3	5	10	43389.67	129.90
0	3	5	15	44075.33	108.98
0	3	5	20	44457.67	164.34
0	3	5	25	44642.00	39.61
